label,id,split
LongJump,v_LongJump_g11_c06,train
BlowingCandles,v_BlowingCandles_g10_c03,train
Haircut,v_Haircut_g11_c04,train
Basketball,v_Basketball_g01_c01,train
UnevenBars,v_UnevenBars_g25_c04,train
SkateBoarding,v_SkateBoarding_g21_c01,train
TennisSwing,v_TennisSwing_g22_c03,train
Lunges,v_Lunges_g23_c03,train
MoppingFloor,v_MoppingFloor_g14_c02,train
BabyCrawling,v_BabyCrawling_g12_c05,train
BreastStroke,v_BreastStroke_g19_c02,train
HeadMassage,v_HeadMassage_g24_c04,train
HammerThrow,v_HammerThrow_g25_c03,train
PlayingSitar,v_PlayingSitar_g04_c04,train
HammerThrow,v_HammerThrow_g06_c04,train
Bowling,v_Bowling_g17_c02,train
Shotput,v_Shotput_g05_c05,train
ThrowDiscus,v_ThrowDiscus_g03_c01,train
ApplyLipstick,v_ApplyLipstick_g18_c03,train
RockClimbingIndoor,v_RockClimbingIndoor_g05_c01,train
ThrowDiscus,v_ThrowDiscus_g11_c02,train
TableTennisShot,v_TableTennisShot_g05_c02,train
PizzaTossing,v_PizzaTossing_g21_c03,train
PlayingDaf,v_PlayingDaf_g07_c04,train
ParallelBars,v_ParallelBars_g20_c01,train
HammerThrow,v_HammerThrow_g05_c05,train
Skijet,v_Skijet_g20_c03,train
JumpRope,v_JumpRope_g09_c05,train
BaseballPitch,v_BaseballPitch_g03_c06,train
Archery,v_Archery_g25_c02,train
HighJump,v_HighJump_g11_c06,train
Rowing,v_Rowing_g02_c03,train
PizzaTossing,v_PizzaTossing_g21_c04,train
HandstandWalking,v_HandstandWalking_g03_c03,train
PommelHorse,v_PommelHorse_g04_c02,train
WalkingWithDog,v_WalkingWithDog_g09_c04,train
HorseRiding,v_HorseRiding_g12_c03,train
SkyDiving,v_SkyDiving_g13_c02,train
CuttingInKitchen,v_CuttingInKitchen_g11_c04,train
HighJump,v_HighJump_g05_c03,train
Mixing,v_Mixing_g22_c02,train
BandMarching,v_BandMarching_g21_c01,train
Biking,v_Biking_g15_c03,train
BlowingCandles,v_BlowingCandles_g09_c02,train
Fencing,v_Fencing_g08_c01,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g07_c01,train
ApplyLipstick,v_ApplyLipstick_g10_c03,train
WritingOnBoard,v_WritingOnBoard_g24_c06,train
WalkingWithDog,v_WalkingWithDog_g06_c02,train
Nunchucks,v_Nunchucks_g10_c03,train
PlayingDhol,v_PlayingDhol_g03_c02,train
WritingOnBoard,v_WritingOnBoard_g25_c07,train
Surfing,v_Surfing_g21_c01,train
JugglingBalls,v_JugglingBalls_g11_c01,train
JumpingJack,v_JumpingJack_g17_c02,train
Biking,v_Biking_g03_c04,train
CleanAndJerk,v_CleanAndJerk_g18_c03,train
HammerThrow,v_HammerThrow_g02_c07,train
Lunges,v_Lunges_g01_c06,train
SkyDiving,v_SkyDiving_g14_c04,train
Surfing,v_Surfing_g03_c03,train
BoxingSpeedBag,v_BoxingSpeedBag_g20_c03,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g14_c02,train
ShavingBeard,v_ShavingBeard_g11_c02,train
ShavingBeard,v_ShavingBeard_g05_c04,train
ThrowDiscus,v_ThrowDiscus_g23_c05,train
RockClimbingIndoor,v_RockClimbingIndoor_g14_c01,train
Nunchucks,v_Nunchucks_g09_c05,train
ParallelBars,v_ParallelBars_g13_c01,train
PlayingCello,v_PlayingCello_g13_c07,train
Biking,v_Biking_g24_c03,train
HulaHoop,v_HulaHoop_g02_c02,train
WallPushups,v_WallPushups_g20_c01,train
Nunchucks,v_Nunchucks_g12_c04,train
GolfSwing,v_GolfSwing_g22_c01,train
SkateBoarding,v_SkateBoarding_g24_c04,train
Kayaking,v_Kayaking_g10_c05,train
Skiing,v_Skiing_g02_c03,train
Punch,v_Punch_g12_c03,train
PommelHorse,v_PommelHorse_g11_c04,train
BasketballDunk,v_BasketballDunk_g05_c02,train
Surfing,v_Surfing_g23_c01,train
CliffDiving,v_CliffDiving_g20_c04,train
ApplyLipstick,v_ApplyLipstick_g18_c02,train
